,Nome,Código,Setor econômico,Subsetor,Segmento,EBIT/ativo,EBIT12M,EBIT3M,EV/EBIT,EV/EBITDA ,LPA,P/Ativos,P/EBIT,P/L,P/VP,P/ativcircLiq,P/capGiro,PSR,ROE,ROIC,VPA,ativo,ativoCirc,cresRec5A,disponib,divBr/patrim,divBruta,divLiq,divYield,giroAtivos,liquidCorr,lucroLiq12M,lucroLiq3M,margBruta,margEBIT,margLiq,max1ano,min1ano,numacs,osc12M,osc2016,osc2017,osc2018,osc2019,osc2020,osc2021,osc30D,oscDia,oscMes,patrimLiq,preço,recLiq12M,recLiq3M,valorFirma,valorMercado
76,TECNOSOLO   ,TCNO4,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,-0.024,-5603000.0,-1073000.0,-7.74,-8.54,-0.17,0.04,-1.77,-8.8,26.84,-0.05,-0.1,,-3.049,-0.032,0.06,234370000.0,39758000.0,-0.651,7.0,90.46,33470000.0,33463000.0,0.0,,0.29,-1128000.0,-688.0,,,0.0,2.24,0.85,6620000.0,-0.333,-0.451,1.036,-0.428,-0.135,0.064,0.0,-0.007,0.0,0.0,370.0,1.5,0.0,0.0,43393000.0,9930000.0
77,MILLS       ,MILS3,Bens Industriais,Construção e Engenharia,Serviços Diversos,-0.01,-13452000.0,5320000.0,-112.06,10.79,-0.11,1.14,-118.37,-55.44,1.45,12.98,5.24,2.67,-0.026,-0.012,4.35,1396650000.0,424016000.0,0.054,262218000.0,0.16,177345000.0,-84873000.0,0.0,0.43,3.53,-28722000.0,1183000.0,0.36,-0.023,-0.048,10.13,3.36,251954000.0,-0.37,0.533,0.054,0.039,1.442,-0.411,0.028,-0.051,0.029,0.028,1095330000.0,6.32,597184000.0,133792000.0,1507480000.0,1592350000.0
78,EMBRAER     ,EMBR3,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,-0.002,-92959000.0,-135480000.0,-216.48,15.11,-6.05,0.11,-72.96,-1.52,0.43,-0.78,0.33,0.53,-0.283,-0.002,21.34,61223000000.0,36160500000.0,-0.147,12320300000.0,1.62,25661000000.0,13340700000.0,0.0,0.21,2.29,-4476130000.0,-649049000.0,0.105,-0.007,-0.348,19.77,6.06,740465000.0,-0.53,-0.451,0.271,0.089,-0.09,-0.553,0.035,0.019,-0.033,0.035,15797800000.0,9.16,12782700000.0,4090470000.0,20123400000.0,6782660000.0
79,FRAS-LE     ,FRAS3,Bens Industriais,Material de Transporte,Material Rodoviário,0.053,147015000.0,74515000.0,19.05,11.93,0.26,0.82,15.32,39.59,2.54,-4.0,3.84,1.56,0.064,0.069,4.07,2759110000.0,1298550000.0,0.169,412834000.0,1.09,962028000.0,549194000.0,0.017,0.52,1.82,56872000.0,42213000.0,0.282,0.102,0.034,10.65,3.25,217566000.0,0.466,0.251,0.317,-0.105,0.31,0.803,0.023,0.085,-0.003,0.023,886566000.0,10.35,1446290000.0,453591000.0,2801000000.0,2251810000.0
80,FRAS-LE     ,FRAS4,Bens Industriais,Material de Transporte,Material Rodoviário,0.053,147015000.0,74515000.0,12.3,7.7,0.26,0.46,8.57,22.15,1.42,-2.24,2.15,0.87,0.064,0.069,4.07,2759110000.0,1298550000.0,0.169,412834000.0,1.09,962028000.0,549194000.0,0.0,0.52,1.82,56872000.0,42213000.0,0.282,0.102,0.034,0.0,0.0,217566000.0,0.0,-0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886566000.0,5.79,1446290000.0,453591000.0,1808900000.0,1259710000.0
81,MARCOPOLO   ,POMO3,Bens Industriais,Material de Transporte,Material Rodoviário,0.034,205566000.0,34416000.0,18.99,12.82,0.04,0.45,13.13,79.58,1.1,-9.92,2.0,0.72,0.014,0.044,2.6,6057520000.0,3270500000.0,0.128,961975000.0,0.88,2166830000.0,1204860000.0,0.033,0.62,1.7,33913000.0,-54319000.0,0.162,0.055,0.007,4.87,2.05,946893000.0,-0.335,0.362,0.507,0.046,0.388,-0.368,0.048,0.055,0.0,0.048,2458970000.0,2.85,3747270000.0,836487000.0,3903500000.0,2698640000.0
82,MARCOPOLO   ,POMO4,Bens Industriais,Material de Transporte,Material Rodoviário,0.034,205566000.0,34416000.0,19.77,13.35,0.04,0.47,13.91,84.32,1.16,-10.51,2.12,0.76,0.014,0.044,2.6,6057520000.0,3270500000.0,0.128,961975000.0,0.88,2166830000.0,1204860000.0,0.031,0.62,1.7,33913000.0,-54319000.0,0.162,0.055,0.007,5.42,2.12,946893000.0,-0.366,0.658,0.458,0.052,0.119,-0.341,0.052,0.052,-0.003,0.052,2458970000.0,3.02,3747270000.0,836487000.0,4064470000.0,2859620000.0
83,RANDON PART ,RAPT3,Bens Industriais,Material de Transporte,Material Rodoviário,0.059,470257000.0,229571000.0,11.28,8.18,0.66,0.49,8.24,17.05,2.22,-4.3,1.55,0.79,0.13,0.093,5.04,7922550000.0,4724940000.0,0.188,2276690000.0,2.13,3707280000.0,1430600000.0,0.022,0.62,2.12,227154000.0,116016000.0,0.24,0.096,0.057,11.81,4.13,345776000.0,-0.024,0.513,1.136,0.318,0.702,0.07,-0.043,-0.049,0.007,-0.043,1743360000.0,11.2,4901550000.0,1515500000.0,5303290000.0,3872690000.0
84,RANDON PART ,RAPT4,Bens Industriais,Material de Transporte,Material Rodoviário,0.059,470257000.0,229571000.0,13.63,9.88,0.66,0.63,10.59,21.92,2.86,-5.52,2.0,1.02,0.13,0.093,5.04,7922550000.0,4724940000.0,0.188,2276690000.0,2.13,3707280000.0,1430600000.0,0.017,0.62,2.12,227154000.0,116016000.0,0.24,0.096,0.057,16.3,4.78,345776000.0,-0.02,0.561,1.097,0.31,0.49,0.218,-0.104,-0.106,-0.019,-0.104,1743360000.0,14.4,4901550000.0,1515500000.0,6409770000.0,4979170000.0
85,RECRUSUL    ,RCSL4,Bens Industriais,Material de Transporte,Material Rodoviário,0.016,650.0,853.0,167.03,83.07,-0.03,2.68,169.14,-49.06,-1.63,-1.19,-9.8,4.71,0.033,0.017,-0.89,41009000.0,16487000.0,3.477,1464000.0,-0.0,93.0,-1371000.0,0.0,0.57,0.6,-2241000.0,500.0,0.217,0.028,-0.096,2.76,0.81,75823000.0,-0.443,-0.444,-0.747,-0.153,0.323,0.012,-0.181,-0.121,0.058,-0.181,-67323000.0,1.45,23331000.0,9949000.0,108572000.0,109943000.0
86,RIOSULENSE  ,RSUL4,Bens Industriais,Material de Transporte,Material Rodoviário,0.137,31153000.0,16589000.0,3.99,3.4,41.9,0.51,3.7,4.72,6.29,-0.85,-2.49,0.66,1.332,0.147,31.45,227980000.0,74553000.0,0.136,4623000.0,0.73,13413000.0,8790000.0,0.0,0.77,0.62,24429000.0,12420000.0,0.359,0.178,0.139,218.5,100.0,583.0,0.414,0.0,0.0,0.823,1.073,0.463,0.053,-0.094,0.0,0.053,18338000.0,197.9,175441000.0,59971000.0,124166000.0,115376000.0
87,TUPY        ,TUPY3,Bens Industriais,Material de Transporte,Material Rodoviário,0.043,274306000.0,179259000.0,15.45,6.8,-0.62,0.49,11.45,-35.01,1.24,-9.25,1.69,0.76,-0.035,0.062,17.6,6401910000.0,3525530000.0,0.086,1433710000.0,1.0,2531220000.0,1097500000.0,0.0,0.64,2.11,-89748000.0,128029000.0,0.156,0.066,-0.022,26.77,10.49,144178000.0,-0.176,-0.348,0.622,0.171,0.324,-0.171,0.039,0.01,-0.022,0.039,2536900000.0,21.79,4126080000.0,1250340000.0,4239140000.0,3141640000.0
88,TUPY        ,TUPY4,Bens Industriais,Material de Transporte,Material Rodoviário,0.043,274306000.0,179259000.0,29.34,12.91,-0.62,1.09,25.34,-77.45,2.74,-20.48,3.75,1.68,-0.035,0.062,17.6,6401910000.0,3525530000.0,0.086,1433710000.0,1.0,2531220000.0,1097500000.0,0.0,0.64,2.11,-89748000.0,128029000.0,0.156,0.066,-0.022,0.0,0.0,144178000.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2536900000.0,48.21,4126080000.0,1250340000.0,8048320000.0,6950820000.0
89,WETZEL S/A  ,MWET3,Bens Industriais,Material de Transporte,Material Rodoviário,-0.038,-6995000.0,-1166000.0,-27.01,-73.32,-12.74,0.63,-16.48,-4.4,-0.51,-0.32,-0.88,0.8,0.117,-0.048,-109.16,182239000.0,49074000.0,0.075,3593000.0,-0.34,77293000.0,73700000.0,0.0,0.79,0.27,-26221000.0,-4203000.0,0.122,-0.049,-0.182,160.0,14.0,2058000.0,7.0,0.952,0.0,0.0,-0.003,7.311,-0.037,0.244,-0.067,-0.037,-224643000.0,56.0,143865000.0,38734000.0,188948000.0,115248000.0
90,WETZEL S/A  ,MWET4,Bens Industriais,Material de Transporte,Material Rodoviário,-0.038,-6995000.0,-1166000.0,-12.64,-34.32,-12.74,0.08,-2.11,-0.56,-0.07,-0.04,-0.11,0.1,0.117,-0.048,-109.16,182239000.0,49074000.0,0.075,3593000.0,-0.34,77293000.0,73700000.0,0.0,0.79,0.27,-26221000.0,-4203000.0,0.122,-0.049,-0.182,13.5,2.4,2058000.0,0.045,0.086,0.757,0.109,1.095,0.048,0.102,0.069,-0.026,0.102,-224643000.0,7.16,143865000.0,38734000.0,88435300.0,14735300.0
91,SCHULZ      ,SHUL4,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",0.052,86733000.0,35668000.0,17.07,11.45,0.91,0.76,14.72,15.73,1.88,16.64,2.26,1.33,0.119,0.081,7.61,1677900000.0,1074560000.0,0.159,474782000.0,1.0,678795000.0,204013000.0,0.022,0.57,2.11,81146000.0,30650000.0,0.236,0.09,0.085,16.22,5.78,89344000.0,0.289,0.149,0.661,0.474,0.494,0.363,0.058,0.052,0.019,0.058,680080000.0,14.29,958396000.0,292488000.0,1480740000.0,1276730000.0
92,WEG         ,WEGE3,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",0.153,2919680000.0,946670000.0,63.2,55.04,1.0,9.77,63.76,88.68,16.74,47.33,27.96,11.38,0.189,0.205,5.3,19048900000.0,11581800000.0,0.146,3597570000.0,0.18,1969990000.0,-1627580000.0,0.005,0.86,2.35,2099130000.0,644246000.0,0.305,0.178,0.131,92.21,26.32,2098660000.0,1.36,0.087,0.582,-0.038,1.006,1.205,0.171,0.22,-0.01,0.171,11122500000.0,88.7,16358500000.0,4801260000.0,184523000000.0,186151000000.0
93,WEG         ,WEGE4,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",0.153,2919680000.0,946670000.0,11.02,9.59,1.0,1.77,11.57,16.1,3.04,8.59,5.08,2.07,0.189,0.205,5.3,19048900000.0,11581800000.0,0.146,3597570000.0,0.18,1969990000.0,-1627580000.0,0.0,0.86,2.35,2099130000.0,644246000.0,0.305,0.178,0.131,0.0,0.0,2098660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11122500000.0,16.1,16358500000.0,4801260000.0,32160800000.0,33788400000.0
94,ACO ALTONA  ,EALT3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,0.047,20923000.0,5134000.0,21.16,12.99,0.93,0.84,17.69,17.64,2.06,-5.91,12.72,1.45,0.117,0.055,7.98,441746000.0,199668000.0,0.241,44687000.0,0.65,117345000.0,72658000.0,0.003,0.58,1.17,20988000.0,10733000.0,0.243,0.082,0.082,20.4,6.89,22500000.0,0.252,0.0,0.016,1.062,2.535,-0.069,0.282,0.236,-0.035,0.282,179500000.0,16.45,255682000.0,59715000.0,442783000.0,370125000.0
95,ACO ALTONA  ,EALT4,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,0.047,20923000.0,5134000.0,8.86,5.44,0.93,0.26,5.39,5.37,0.63,-1.8,3.87,0.44,0.117,0.055,7.98,441746000.0,199668000.0,0.241,44687000.0,0.65,117345000.0,72658000.0,0.012,0.58,1.17,20988000.0,10733000.0,0.243,0.082,0.082,7.36,3.01,22500000.0,-0.265,-0.104,2.211,0.364,0.575,-0.185,-0.018,-0.035,0.01,-0.018,179500000.0,5.01,255682000.0,59715000.0,185383000.0,112725000.0
96,AERIS,AERI3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,0.0,0.0,71668000.0,,,0.0,6.04,,0.0,57.82,-24.2,44.45,,,,0.22,1650200000.0,1066260000.0,,238244000.0,6.25,1076630000.0,838382000.0,0.0,,1.27,0.0,56445000.0,,,,13.13,6.15,766213000.0,0.982,0.0,0.0,0.0,0.0,0.525,0.3,0.709,0.087,0.3,172284000.0,13.0,0.0,705823000.0,10799200000.0,9960770000.0
