,Nome,Código,Setor econômico,Subsetor,Segmento,EBIT/ativo,EBIT12M,EBIT3M,EV/EBIT,EV/EBITDA ,LPA,P/Ativos,P/EBIT,P/L,P/VP,P/ativcircLiq,P/capGiro,PSR,ROE,ROIC,VPA,ativo,ativoCirc,cresRec5A,disponib,divBr/patrim,divBruta,divLiq,divYield,giroAtivos,liquidCorr,lucroLiq12M,lucroLiq3M,margBruta,margEBIT,margLiq,max1ano,min1ano,numacs,osc12M,osc2016,osc2017,osc2018,osc2019,osc2020,osc2021,osc30D,oscDia,oscMes,patrimLiq,preço,recLiq12M,recLiq3M,valorFirma,valorMercado
103,KEPLER WEBER,KEPL3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,0.079,67379000.0,33379000.0,12.25,8.57,2.58,1.15,14.52,14.38,1.9,7.9,5.94,1.62,0.132,0.118,19.53,851402000.0,461350000.0,0.027,210828000.0,0.11,58091000.0,-152737000.0,0.015,0.71,1.55,68014000.0,22958000.0,0.26,0.112,0.113,44.9,22.11,26312000.0,0.252,0.181,0.085,-0.236,0.997,0.312,-0.022,0.001,0.025,-0.022,513931000.0,37.18,602479000.0,201645000.0,825543000.0,978280000.0
104,METALFRIO   ,FRIO3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,0.04,68578000.0,11851000.0,17.58,9.81,-33.84,0.23,5.64,-2.78,-5.2,-0.78,-17.0,0.27,1.868,0.072,-18.11,1701420000.0,1208150000.0,0.112,437446000.0,-16.89,1256500000.0,819054000.0,0.0,0.84,0.98,-138967000.0,-37900000.0,0.178,0.048,-0.093,130.0,53.01,4107000.0,0.543,0.376,0.628,0.405,0.034,0.033,0.494,0.448,0.0,0.494,-74376000.0,94.12,1433520000.0,341012000.0,1205600000.0,386551000.0
105,NORDON MET  ,NORD3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,-0.041,-704.0,-203.0,-255.76,-255.76,0.05,8.38,-203.14,426.91,-1.02,-0.92,-2.97,90.4,-0.002,-0.042,-21.13,17060000.0,1093000.0,0.562,241.0,-0.27,37280000.0,37039000.0,0.0,0.09,0.02,335.0,-226.0,0.918,-0.445,0.212,31.59,3.17,6621000.0,3.408,0.0,0.0,-0.771,2.511,0.308,2.434,2.37,-0.025,2.434,-139893000.0,21.6,1582000.0,391.0,180053000.0,143014000.0
106,METISA      ,MTSA4,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,0.077,29702700.0,14028300.0,7.27,5.64,5.31,0.72,9.35,5.73,1.0,1.48,1.39,0.84,0.174,0.112,30.54,385412000.0,294432000.0,0.109,111376000.0,0.18,49445300.0,-61931000.0,0.025,0.86,3.13,48504900.0,13418100.0,0.283,0.09,0.147,32.5,12.67,9137260.0,0.298,0.175,0.643,-0.051,0.647,0.395,-0.048,-0.049,-0.004,-0.048,279084000.0,30.41,330719000.0,107303000.0,215933000.0,277864000.0
107,TAURUS ARMAS,TASA3,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,0.221,286058000.0,143943000.0,8.91,8.21,0.07,1.33,6.01,274.45,-6.72,-2.53,6.22,1.16,-0.024,0.251,-2.88,1295710000.0,870870000.0,0.128,61122000.0,-3.48,890613000.0,829491000.0,0.0,1.15,1.47,6269000.0,102235000.0,0.401,0.193,0.004,19.4,2.42,89055000.0,2.82,-0.047,0.204,1.801,0.067,2.131,0.217,0.24,-0.004,0.217,-256159000.0,19.32,1485140000.0,490802000.0,2550030000.0,1720540000.0
108,TAURUS ARMAS,TASA4,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,0.221,286058000.0,143943000.0,8.62,7.94,0.07,1.26,5.72,261.1,-6.39,-2.4,5.92,1.1,-0.024,0.251,-2.88,1295710000.0,870870000.0,0.128,61122000.0,-3.48,890613000.0,829491000.0,0.0,1.15,1.47,6269000.0,102235000.0,0.401,0.193,0.004,19.0,2.28,89055000.0,2.059,0.564,0.19,1.314,0.479,1.623,0.186,0.239,-0.033,0.186,-256159000.0,18.38,1485140000.0,490802000.0,2466320000.0,1636830000.0
109,AZUL,AZUL4,Bens Industriais,Transporte,Transporte Aéreo,-0.253,-3526990000.0,-247656000.0,-8.42,72.83,-37.83,0.93,-3.68,-1.0,-0.94,-0.54,-1.79,1.79,0.934,-0.373,-40.51,13926300000.0,3605270000.0,-0.095,1569260000.0,-1.32,18305300000.0,16736100000.0,0.0,0.52,0.33,-12949800000.0,-1226280000.0,-0.318,-0.486,-1.783,62.1,10.3,342291000.0,-0.383,0.0,0.201,0.338,0.619,-0.322,-0.035,0.004,0.009,-0.035,-13866400000.0,37.91,7261490000.0,805326000.0,29712300000.0,12976300000.0
110,GOL         ,GOLL4,Bens Industriais,Transporte,Transporte Aéreo,-0.022,-281254000.0,-447611000.0,-62.76,10.72,-15.89,0.64,-29.39,-1.46,-0.56,-0.34,-0.91,1.0,0.383,-0.027,-41.48,12820800000.0,2894760000.0,-0.009,898378000.0,-0.7,10283700000.0,9385340000.0,0.0,0.65,0.24,-5653240000.0,-1719770000.0,0.211,-0.034,-0.666,39.1,5.61,355844000.0,-0.386,0.917,2.16,0.719,0.466,-0.323,-0.069,-0.077,-0.0,-0.069,-14759200000.0,23.23,8283840000.0,974920000.0,17651600000.0,8266260000.0
111,COSAN LOG,RLOG3,Bens Industriais,Transporte,Transporte Ferroviário,0.043,2010680000.0,694346000.0,11.74,6.31,0.28,0.2,4.63,72.04,3.71,-0.43,1.29,1.34,0.052,0.054,5.41,46607600000.0,11572300000.0,0.088,8473710000.0,9.08,22777500000.0,14303800000.0,0.0,0.15,2.64,129182000.0,36960000.0,0.347,0.289,0.071,22.38,11.2,463224000.0,-0.102,0.317,0.909,0.406,0.778,-0.201,0.085,0.11,-0.022,0.085,2507240000.0,20.09,6968480000.0,2052670000.0,23610000000.0,9306170000.0
112,FER C ATLANT,VSPT3,Bens Industriais,Transporte,Transporte Ferroviário,0.0,219556000.0,132538000.0,,,0.0,,,0.0,0.0,,,,-0.009,,0.0,8869840000.0,798016000.0,0.475,274289000.0,,0.0,-274289000.0,0.0,,,-43589000.0,23476000.0,,,0.0,0.0,0.0,136243000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4759530000.0,0.0,2683910000.0,786967000.0,,0.0
113,FER C ATLANT,VSPT4,Bens Industriais,Transporte,Transporte Ferroviário,0.0,219556000.0,132538000.0,,,0.0,,,0.0,0.0,,,,-0.009,,0.0,8869840000.0,798016000.0,0.475,274289000.0,,0.0,-274289000.0,0.0,,,-43589000.0,23476000.0,,,0.0,0.0,0.0,136243000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4759530000.0,0.0,2683910000.0,786967000.0,,0.0
114,MRS LOGIST  ,MRSA3B,Bens Industriais,Transporte,Transporte Ferroviário,0.058,618558000.0,319156000.0,22.5,8.4,0.85,1.16,19.79,42.13,2.84,-2.82,56.83,3.69,0.067,0.069,12.67,10591800000.0,1951540000.0,0.0,1492730000.0,0.74,3170880000.0,1678150000.0,0.0,0.31,1.12,290561000.0,148577000.0,0.263,0.187,0.088,72.59,27.82,340000000.0,0.835,-0.415,0.0,0.0,2.984,0.835,0.0,-0.065,0.0,0.0,4306220000.0,36.0,3316310000.0,1011380000.0,13918200000.0,12240000000.0
115,MRS LOGIST  ,MRSA5B,Bens Industriais,Transporte,Transporte Ferroviário,0.0,618558000.0,319156000.0,,,0.0,,,0.0,0.0,,,,0.067,,0.0,10591800000.0,1951540000.0,0.0,1492730000.0,,3170880000.0,1678150000.0,0.0,,,290561000.0,148577000.0,,,0.0,0.0,0.0,340000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4306220000.0,0.0,3316310000.0,1011380000.0,,0.0
116,MRS LOGIST  ,MRSA6B,Bens Industriais,Transporte,Transporte Ferroviário,0.0,618558000.0,319156000.0,,,0.0,,,0.0,0.0,,,,0.067,,0.0,10591800000.0,1951540000.0,0.0,1492730000.0,,3170880000.0,1678150000.0,0.0,,,290561000.0,148577000.0,,,0.0,0.0,0.0,340000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4306220000.0,0.0,3316310000.0,1011380000.0,,0.0
117,RUMO S.A.,RAIL3,Bens Industriais,Transporte,Transporte Ferroviário,0.042,1974060000.0,695944000.0,26.13,13.92,0.27,0.84,19.75,78.57,2.6,-1.97,5.42,5.6,0.033,0.053,8.09,46602800000.0,11568500000.0,0.125,8473700000.0,1.4,21055500000.0,12581800000.0,0.0,0.15,2.64,496310000.0,164394000.0,0.347,0.283,0.072,24.85,14.33,1854160000.0,-0.15,0.025,1.112,0.311,0.535,-0.265,0.093,0.082,-0.003,0.093,14994700000.0,21.03,6968480000.0,2052670000.0,51574700000.0,38993000000.0
118,HIDROVIAS,HBSA3,Bens Industriais,Transporte,Transporte Hidroviário,0.0,0.0,76055000.0,,,0.0,0.96,,0.0,3.85,-1.99,4.83,,,,1.91,5813450000.0,1542190000.0,1.004,1146830000.0,2.83,4116040000.0,2969210000.0,0.0,,4.03,0.0,-8523000.0,,,,7.63,5.95,760383000.0,-0.017,0.0,0.0,0.0,0.0,-0.079,0.067,0.084,0.007,0.067,1455110000.0,7.36,0.0,464738000.0,8565630000.0,5596420000.0
119,LOG-IN      ,LOGN3,Bens Industriais,Transporte,Transporte Hidroviário,0.044,91496000.0,38000000.0,25.75,11.94,-1.01,0.77,17.62,-15.07,7.43,-1.83,2.57,1.51,-0.493,0.072,2.06,2092590000.0,994378000.0,0.06,702972000.0,6.67,1447560000.0,744591000.0,0.0,0.51,2.71,-106959000.0,9040000.0,0.167,0.086,-0.1,24.82,11.13,105489000.0,-0.399,-0.62,0.362,1.557,1.679,-0.23,-0.056,-0.07,-0.01,-0.056,217051000.0,15.28,1069810000.0,298427000.0,2356470000.0,1611870000.0
120,TREVISA     ,LUXM3,Bens Industriais,Transporte,Transporte Hidroviário,0.084,13089000.0,2950000.0,4.43,1.97,2.27,0.33,3.97,4.41,0.54,-2.46,2.72,0.48,0.122,0.099,18.64,155801000.0,37884000.0,0.064,21163000.0,0.28,27205000.0,6042000.0,0.0,0.69,2.02,11769000.0,2461000.0,0.259,0.122,0.109,0.0,0.0,5196000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96830000.0,10.0,107496000.0,25602000.0,58002000.0,51960000.0
121,TREVISA     ,LUXM4,Bens Industriais,Transporte,Transporte Hidroviário,0.084,13089000.0,2950000.0,26.27,11.7,2.27,2.17,25.8,28.7,3.49,-16.02,17.69,3.14,0.122,0.099,18.64,155801000.0,37884000.0,0.064,21163000.0,0.28,27205000.0,6042000.0,0.072,0.69,2.02,11769000.0,2461000.0,0.259,0.122,0.109,65.0,18.26,5196000.0,1.533,0.0,0.0,0.552,0.57,1.772,0.016,0.04,0.0,0.016,96830000.0,65.0,107496000.0,25602000.0,343782000.0,337740000.0
122,JSL         ,JSLG3,Bens Industriais,Transporte,Transporte Rodoviário,0.147,615176000.0,57374000.0,6.67,3.87,0.82,0.6,4.1,10.94,2.36,-2.68,1.58,0.32,0.215,0.2,3.82,4186750000.0,2176600000.0,0.064,992454000.0,2.41,2574470000.0,1582010000.0,0.011,1.89,3.71,230249000.0,29620000.0,0.198,0.078,0.028,11.27,3.33,279991000.0,-0.094,0.582,-0.082,-0.154,2.914,0.335,-0.164,-0.185,-0.006,-0.164,1069800000.0,9.0,7919240000.0,733233000.0,4101930000.0,2519920000.0
123,TEGMA       ,TGMA3,Bens Industriais,Transporte,Transporte Rodoviário,0.072,74673000.0,42222000.0,23.22,17.54,1.34,1.67,23.03,19.47,2.77,17.23,5.73,1.6,0.142,0.099,9.39,1031400000.0,511246000.0,0.052,247793000.0,0.42,262164000.0,14371000.0,0.013,1.04,2.42,88307000.0,29939000.0,0.205,0.069,0.082,40.72,15.47,66003000.0,-0.356,0.706,1.662,0.46,0.442,-0.274,-0.034,-0.034,-0.01,-0.034,619947000.0,26.05,1077400000.0,289181000.0,1733750000.0,1719380000.0
124,CCR SA      ,CCRO3,Bens Industriais,Transporte,Exploração de Rodovias,0.07,2483490000.0,581487000.0,16.11,8.45,0.33,0.74,10.49,39.58,3.26,-1.42,31.4,2.61,0.082,0.089,3.96,35322400000.0,8754240000.0,0.01,6946500000.0,2.61,20905000000.0,13958500000.0,0.037,0.28,1.1,658423000.0,118295000.0,0.358,0.248,0.056,19.3,9.53,2020000000.0,-0.31,0.378,0.048,-0.268,0.782,-0.262,-0.042,-0.029,-0.009,-0.042,7999700000.0,12.9,9994680000.0,2381320000.0,40016500000.0,26058000000.0
125,ECORODOVIAS ,ECOR3,Bens Industriais,Transporte,Exploração de Rodovias,0.105,1301450000.0,356995000.0,10.88,7.57,0.51,0.57,5.47,25.17,10.37,-0.78,34.85,1.76,0.412,0.13,1.23,12394300000.0,2544760000.0,0.09,2228400000.0,13.5,9270400000.0,7041990000.0,0.0,0.33,1.09,282981000.0,71622000.0,0.395,0.321,0.07,19.16,8.28,558699000.0,-0.309,0.783,0.557,-0.178,0.738,-0.182,-0.046,-0.022,-0.018,-0.046,686925000.0,12.75,4057940000.0,1058500000.0,14165400000.0,7123410000.0
126,TRIUNFO PART,TPIS3,Bens Industriais,Transporte,Exploração de Rodovias,-0.01,-34034000.0,-27695000.0,-62.81,5.63,-0.21,0.1,-10.14,-9.55,0.53,-0.13,-0.45,0.35,-0.056,-0.01,3.69,3549150000.0,233572000.0,-0.142,102418000.0,2.92,1895040000.0,1792620000.0,0.0,0.28,0.23,-36137000.0,-52909000.0,0.11,-0.034,-0.061,2.95,0.72,176000000.0,-0.039,-0.279,0.062,-0.497,0.083,0.379,-0.159,-0.24,-0.01,-0.159,648781000.0,1.96,992318000.0,238564000.0,2137580000.0,344960000.0
127,SANTOS BRP  ,STBP11,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,0.004,16269000.0,3324000.0,112.42,11.14,-0.1,0.59,152.68,-140.44,1.19,-2.84,2.53,2.76,-0.008,0.005,12.08,4228910000.0,1269010000.0,0.031,1088800000.0,0.21,433811000.0,-654985000.0,0.0,0.21,4.39,-17687000.0,-5446000.0,0.227,0.018,-0.02,0.0,0.0,862478000.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084210000.0,14.4,899249000.0,220268000.0,1828950000.0,2483940000.0
128,SANTOS BRP  ,STBP3,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,0.004,16269000.0,3324000.0,290.02,28.74,-0.02,1.27,330.28,-303.8,2.58,-6.14,5.48,5.98,-0.008,0.005,2.42,4228910000.0,1269010000.0,0.031,1088800000.0,0.21,433811000.0,-654985000.0,0.002,0.21,4.39,-17687000.0,-5446000.0,0.227,0.018,-0.02,8.27,3.01,862478000.0,-0.24,-0.13,0.412,0.248,0.934,-0.355,0.187,0.169,0.005,0.187,2084210000.0,6.23,899249000.0,220268000.0,4718260000.0,5373240000.0
129,WILSON SONS ,WSON33,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,0.127,732640000.0,212417000.0,7.16,7.16,1.33,0.56,4.36,33.86,1.33,-1.41,7.92,1.83,0.039,0.151,33.87,5754960000.0,1064980000.0,0.013,635245000.0,1.11,2683250000.0,2048010000.0,0.068,0.3,1.61,94392000.0,53762000.0,0.48,0.42,0.057,48.0,25.0,71220000.0,0.011,0.075,0.249,0.051,0.185,0.103,-0.007,-0.033,-0.003,-0.007,2412050000.0,44.88,1742890000.0,474099000.0,5244360000.0,3196350000.0
130,ATMASA,ATMP3,Bens Industriais,Serviços Diversos,Serviços Diversos,-0.114,-176818000.0,-6151000.0,-2.47,-4.81,-14.85,0.05,-0.42,-0.2,-0.98,-0.06,-0.16,0.09,4.851,-0.134,-3.06,1552560000.0,313021000.0,-0.228,46522000.0,-5.42,409136000.0,362614000.0,0.0,0.54,0.41,-366410000.0,-65638000.0,-0.124,-0.209,-0.434,8.94,2.24,24670000.0,-0.662,-0.146,-0.609,-0.772,-0.647,-0.737,0.304,0.029,0.038,0.304,-75534000.0,3.0,845028000.0,229537000.0,436624000.0,74010000.0
131,AMBIPAR,AMBP3,Bens Industriais,Serviços Diversos,Serviços Diversos,0.0,0.0,28323000.0,,,0.0,1.89,,0.0,2.46,5.24,3.9,,,,10.71,1573520000.0,901591000.0,,649050000.0,0.14,170809000.0,-478241000.0,0.0,,6.57,0.0,-1897000.0,,,,32.14,24.5,112936000.0,-0.11,0.0,0.0,0.0,0.0,-0.109,-0.001,-0.016,-0.02,-0.001,1209970000.0,26.4,0.0,175867000.0,2503270000.0,2981510000.0
132,CSU CARDSYST,CARD3,Bens Industriais,Serviços Diversos,Serviços Diversos,0.119,62384000.0,18958000.0,11.93,6.15,1.01,1.37,11.48,16.9,2.54,-10.09,33.07,1.58,0.15,0.158,6.76,523919000.0,170382000.0,-0.019,87106000.0,0.41,114737000.0,27631000.0,0.018,0.86,1.15,42403000.0,12199000.0,0.288,0.138,0.094,17.14,6.45,41800000.0,0.279,0.79,1.074,-0.274,0.833,0.255,0.136,0.132,0.045,0.136,282506000.0,17.14,452744000.0,113640000.0,744083000.0,716452000.0
133,DTCOM-DIRECT,DTCY3,Bens Industriais,Serviços Diversos,Serviços Diversos,0.021,585.0,-1209000.0,144.45,23.03,-0.29,3.12,145.53,-37.64,14.17,-6.2,-16.59,4.72,-0.376,0.027,0.77,27245000.0,7507000.0,0.046,3569000.0,0.49,2941000.0,-628.0,0.0,0.66,0.59,-2262000.0,-1272000.0,0.329,0.032,-0.126,14.0,4.7,7789000.0,1.102,-0.2,-0.056,-0.294,1.125,0.631,0.481,0.497,-0.036,0.481,6010000.0,10.93,18023000.0,2021000.0,84505800.0,85133800.0
134,ESTAPAR,ALPK3,Bens Industriais,Serviços Diversos,Serviços Diversos,0.0,0.0,-21763000.0,,,0.0,0.5,,0.0,2.5,-0.76,-4.15,,,,3.58,3480090000.0,481601000.0,,316079000.0,2.75,1909940000.0,1593860000.0,0.0,,0.54,0.0,-73124000.0,,,,10.47,8.91,193771000.0,-0.063,0.0,0.0,0.0,0.0,-0.026,-0.038,-0.032,-0.004,-0.038,694439000.0,8.95,0.0,135540000.0,3328110000.0,1734250000.0
135,PRINER,PRNR3,Bens Industriais,Serviços Diversos,Serviços Diversos,-0.033,-10694000.0,-3014000.0,-24.18,24.6,-0.53,0.98,-30.19,-15.73,1.53,3.12,2.09,1.23,-0.097,-0.058,5.44,328500000.0,222451000.0,-0.079,135441000.0,0.34,71195000.0,-64246000.0,0.0,0.8,3.26,-20519000.0,-4924000.0,0.113,-0.041,-0.096,14.97,6.58,38759000.0,-0.378,0.0,0.0,0.0,0.0,-0.351,-0.043,-0.07,-0.026,-0.043,210974000.0,8.33,262023000.0,54827000.0,258616000.0,322862000.0
136,SEQUOIA LOG,SEQL3,Bens Industriais,Serviços Diversos,Serviços Diversos,0.0,0.0,20431000.0,,,0.0,4.03,,0.0,50.4,-8.15,47.5,,,,0.57,910926000.0,388109000.0,,114527000.0,6.77,493134000.0,378607000.0,0.0,,1.25,0.0,7158000.0,,,,29.19,12.33,127150000.0,1.341,0.0,0.0,0.0,0.0,0.849,0.266,0.363,0.007,0.266,72804000.0,28.86,0.0,277543000.0,4048160000.0,3669550000.0
137,VALID       ,VLID3,Bens Industriais,Serviços Diversos,Serviços Diversos,0.034,105711000.0,40825000.0,14.11,5.95,-2.05,0.21,6.01,-4.36,0.54,-1.43,1.55,0.33,-0.124,0.044,16.45,3096700000.0,1456330000.0,0.041,525767000.0,1.18,1382150000.0,856382000.0,0.0,0.63,1.39,-145824000.0,-2474000.0,0.183,0.054,-0.076,18.68,6.49,71225000.0,-0.503,-0.357,-0.155,0.022,-0.019,-0.447,0.005,-0.058,-0.046,0.005,1171680000.0,8.92,1949230000.0,522060000.0,1491710000.0,635327000.0
138,BATTISTELLA ,BTTL3,Bens Industriais,Comércio,Material de Transporte,0.0,0.0,5192000.0,,,0.0,0.93,,0.0,7.85,-2.2,16.8,,,,1.29,162051000.0,74780000.0,0.234,24495000.0,2.6,49711000.0,25216000.0,0.0,,1.14,0.0,4555000.0,,,,13.15,4.05,14861000.0,-0.026,-0.023,-0.641,-0.138,0.918,0.875,-0.111,-0.113,0.02,-0.111,19104000.0,10.09,0.0,101314000.0,175163000.0,149947000.0
139,BATTISTELLA ,BTTL4,Bens Industriais,Comércio,Material de Transporte,0.0,0.0,5192000.0,,,0.0,0.3,,0.0,2.57,-0.72,5.49,,,,1.29,162051000.0,74780000.0,0.234,24495000.0,2.6,49711000.0,25216000.0,0.0,,1.14,0.0,4555000.0,,,,0.0,0.0,14861000.0,0.0,-0.329,-0.551,-0.081,0.0,0.0,0.0,0.0,0.0,0.0,19104000.0,3.3,0.0,101314000.0,74257300.0,49041300.0
140,MINASMAQUINA,MMAQ3,Bens Industriais,Comércio,Material de Transporte,0.0,0.0,3910000.0,,,0.0,,,0.0,0.0,,,,,,0.0,245659000.0,198956000.0,0.25,68910000.0,0.04,6650000.0,-62260000.0,0.0,,2.76,0.0,6918000.0,,,,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169847000.0,0.0,0.0,143764000.0,-62260000.0,0.0
141,MINASMAQUINA,MMAQ4,Bens Industriais,Comércio,Material de Transporte,0.0,0.0,3910000.0,,,0.0,0.04,,0.0,0.05,0.07,0.07,,,,3774380000.0,245659000.0,198956000.0,0.25,68910000.0,0.04,6650000.0,-62260000.0,0.798,,2.76,0.0,6918000.0,,,,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169847000.0,200.06,0.0,143764000.0,-53257300.0,9002700.0
142,WLM IND COM ,WLMM3,Bens Industriais,Comércio,Material de Transporte,0.109,63143000.0,22701000.0,11.71,11.07,1.61,1.46,13.38,14.39,1.84,5.86,4.33,0.91,0.128,0.141,12.59,578365000.0,263611000.0,0.274,118675000.0,0.03,13303000.0,-105372000.0,0.014,1.6,3.85,58709000.0,18715000.0,0.138,0.068,0.063,28.26,9.1,36414700.0,0.489,-0.224,0.606,-0.325,1.676,0.74,0.054,0.202,-0.141,0.054,458461000.0,23.2,927510000.0,250720000.0,739448000.0,844820000.0
143,WLM IND COM ,WLMM4,Bens Industriais,Comércio,Material de Transporte,0.109,63143000.0,22701000.0,13.95,13.19,1.61,1.71,15.62,16.8,2.15,6.84,5.05,1.06,0.128,0.141,12.59,578365000.0,263611000.0,0.274,118675000.0,0.03,13303000.0,-105372000.0,0.013,1.6,3.85,58709000.0,18715000.0,0.138,0.068,0.063,32.0,12.55,36414700.0,0.556,-0.531,1.02,-0.036,1.725,1.444,-0.145,0.034,-0.094,-0.145,458461000.0,27.09,927510000.0,250720000.0,881101000.0,986473000.0
144,ALIPERTI    ,APTI4,Consumo não Cíclico,Agropecuária,Agricultura,-0.056,-27573000.0,-9167000.0,-2.7,-2.5,2955680000.0,0.14,-2.41,1.18,0.22,-0.6,3.25,3.41,0.189,-0.062,15616900000.0,491357000.0,84349000.0,-0.089,44568000.0,0.18,52559000.0,7991000.0,0.0,0.04,1.32,56158000.0,74817000.0,0.548,-1.412,2.877,0.0,0.0,19.0,0.0,-0.003,1.875,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,296722000.0,3500000000.0,19530000.0,4719000.0,74491000.0,66500000.0
145,BRASILAGRO  ,AGRO3,Consumo não Cíclico,Agropecuária,Agricultura,0.082,175569000.0,59950000.0,11.69,23.97,3.14,0.77,9.42,8.48,1.37,-6.02,7.12,2.16,0.162,0.097,19.4,2141680000.0,662289000.0,0.581,224169000.0,0.52,622215000.0,398046000.0,0.027,0.36,1.54,195208000.0,75654000.0,0.305,0.229,0.202,27.94,13.36,62104300.0,0.362,0.067,0.154,0.317,0.285,0.357,0.066,0.031,0.016,0.066,1204530000.0,26.64,766589000.0,280834000.0,2052500000.0,1654460000.0
146,POMIFRUTAS,FRTA3,Consumo não Cíclico,Agropecuária,Agricultura,-0.025,-846.0,-241.0,-86.11,-357.09,1.46,0.35,-14.19,4.12,-0.19,-0.13,-0.16,1.08,-0.045,-0.029,-32.42,34379000.0,5150000.0,-0.389,709.0,-0.95,61548000.0,60839000.0,0.0,0.32,0.06,2914000.0,2701000.0,0.392,-0.076,0.262,11.0,1.74,2001110.0,-0.51,0.112,-0.617,-0.403,0.56,-0.198,-0.037,0.036,0.026,-0.037,-64884000.0,6.0,11140000.0,4647000.0,72845600.0,12006600.0
147,SLC AGRICOLA,SLCE3,Consumo não Cíclico,Agropecuária,Agricultura,0.084,655497000.0,-34195000.0,12.1,10.3,2.05,0.84,10.01,16.82,2.41,-5.13,5.62,1.84,0.144,0.108,14.26,7830050000.0,3641770000.0,0.213,1079830000.0,0.9,2454020000.0,1374190000.0,0.029,0.46,1.47,390025000.0,-23749000.0,0.261,0.184,0.114,34.44,17.77,190595000.0,0.497,-0.066,1.027,0.648,0.242,0.146,0.254,0.285,0.018,0.254,2717770000.0,34.41,3567400000.0,751267000.0,7932570000.0,6558370000.0
148,TERRA SANTA,TESA3,Consumo não Cíclico,Agropecuária,Agricultura,0.092,254873000.0,92094000.0,6.6,5.4,-3.98,0.22,2.36,-6.99,0.83,-0.53,-7.53,0.51,-0.118,0.103,33.64,2769240000.0,903627000.0,0.094,15173000.0,1.51,1096740000.0,1081570000.0,0.0,0.43,0.92,-86090000.0,-15102000.0,0.278,0.215,-0.073,29.5,9.82,21657000.0,0.204,0.316,0.489,-0.178,0.797,0.179,0.068,0.041,0.008,0.068,728543000.0,27.77,1184450000.0,265654000.0,1682980000.0,601415000.0
149,BIOSEV,BSEV3,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,0.098,1168550000.0,840871000.0,13.87,5.12,-0.92,0.77,7.9,-9.87,-11.02,-1.13,-5.69,1.04,1.117,0.111,-0.82,11942300000.0,4608600000.0,0.041,667091000.0,-9.12,7640040000.0,6972950000.0,0.0,0.75,0.74,-935632000.0,423597000.0,0.19,0.131,-0.105,9.05,2.54,1020430000.0,0.178,0.54,-0.394,-0.322,-0.075,0.894,0.685,0.785,0.174,0.685,-837886000.0,9.05,8921490000.0,2984600000.0,16207800000.0,9234880000.0
150,SAO MARTINHO,SMTO3,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,0.082,1007240000.0,228726000.0,15.43,6.52,2.64,0.9,10.99,11.86,3.03,-2.48,4.7,2.69,0.255,0.099,10.32,12357300000.0,4242980000.0,0.122,1838040000.0,1.73,6312170000.0,4474130000.0,0.017,0.33,2.25,933165000.0,331894000.0,0.34,0.245,0.227,32.08,12.0,354011000.0,0.225,0.328,0.006,-0.033,0.342,0.182,0.142,0.203,-0.026,0.142,3655110000.0,31.26,4116210000.0,919728000.0,15540500000.0,11066400000.0
151,BRF SA   ,BRFS3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,0.055,2831020000.0,760641000.0,10.91,5.95,1.42,0.32,5.86,14.34,2.34,-0.83,2.85,0.44,0.163,0.095,8.72,51182200000.0,23935200000.0,0.005,11711700000.0,3.67,26014400000.0,14302800000.0,0.0,0.73,1.32,1156560000.0,216791000.0,0.24,0.076,0.031,35.6,13.01,812473000.0,-0.434,-0.098,-0.241,-0.401,0.605,-0.374,-0.074,-0.075,0.0,-0.074,7086930000.0,20.41,37285800000.0,9942590000.0,30885300000.0,16582600000.0
