,Nome,Código,Setor econômico,Subsetor,Segmento
319,TERMOPE,TMPE,Utilidade Pública,Energia Elétrica,Energia Elétrica
320,TERM. PE III,TEPE,Utilidade Pública,Energia Elétrica,Energia Elétrica
321,TRAN PAULIST,TRPL,Utilidade Pública,Energia Elétrica,Energia Elétrica
322,UPTICK,UPKP,Utilidade Pública,Energia Elétrica,Energia Elétrica
323,CASAN,CASN,Utilidade Pública,Água e Saneamento,Água e Saneamento
324,COPASA,CSMG,Utilidade Pública,Água e Saneamento,Água e Saneamento
325,IGUA SA,IGSN,Utilidade Pública,Água e Saneamento,Água e Saneamento
326,SABESP,SBSP,Utilidade Pública,Água e Saneamento,Água e Saneamento
327,SANEPAR,SAPR,Utilidade Pública,Água e Saneamento,Água e Saneamento
328,SANESALTO,SNST,Utilidade Pública,Água e Saneamento,Água e Saneamento
329,CEG,CEGR,Utilidade Pública,Gás,Gás
330,COMGAS,CGAS,Utilidade Pública,Gás,Gás
331,ABC BRASIL  ,ABCB,Financeiro,Intermediários Financeiros,Bancos
332,ALFA HOLDING,RPAD,Financeiro,Intermediários Financeiros,Bancos
333,ALFA INVEST ,BRIV,Financeiro,Intermediários Financeiros,Bancos
334,AMAZONIA    ,BAZA,Financeiro,Intermediários Financeiros,Bancos
335,BANCO BMG,BMGB,Financeiro,Intermediários Financeiros,Bancos
336,BANCO INTER,BIDI,Financeiro,Intermediários Financeiros,Bancos
337,BANCO PAN,BPAN,Financeiro,Intermediários Financeiros,Bancos
338,BANESE      ,BGIP,Financeiro,Intermediários Financeiros,Bancos
339,BANESTES    ,BEES,Financeiro,Intermediários Financeiros,Bancos
340,BANPARA     ,BPAR,Financeiro,Intermediários Financeiros,Bancos
341,BANRISUL    ,BRSR,Financeiro,Intermediários Financeiros,Bancos
342,BRADESCO    ,BBDC,Financeiro,Intermediários Financeiros,Bancos
343,BRASIL      ,BBAS,Financeiro,Intermediários Financeiros,Bancos
344,BRB BANCO   ,BSLI,Financeiro,Intermediários Financeiros,Bancos
345,BTGP BANCO,BPAC,Financeiro,Intermediários Financeiros,Bancos
346,INDUSVAL    ,IDVL,Financeiro,Intermediários Financeiros,Bancos
347,ITAUSA      ,ITSA,Financeiro,Intermediários Financeiros,Bancos
348,ITAUUNIBANCO,ITUB,Financeiro,Intermediários Financeiros,Bancos
349,MERC BRASIL ,BMEB,Financeiro,Intermediários Financeiros,Bancos
350,MERC INVEST ,BMIN,Financeiro,Intermediários Financeiros,Bancos
351,NORD BRASIL ,BNBR,Financeiro,Intermediários Financeiros,Bancos
352,PARANA      ,PRBC,Financeiro,Intermediários Financeiros,Bancos
353,PINE        ,PINE,Financeiro,Intermediários Financeiros,Bancos
354,SANTANDER BR,SANB,Financeiro,Intermediários Financeiros,Bancos
355,ALFA FINANC ,CRIV,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
356,FINANSINOS  ,FNCN,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
357,MERC FINANC ,MERC,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
358,BRADESCO LSG,BDLS,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil
359,DIBENS LSG  ,DBEN,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil
360,BRAZIL REALT,BZRS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
361,BRAZILIAN SC,BSCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
362,BRPR 56 SEC,WTVR,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
363,CIBRASEC,CBSC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
364,ECO SEC AGRO,ECOA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
365,GAIA AGRO   ,GAFL,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
366,GAIA SECURIT,GAIA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
367,OCTANTE SEC,OCTS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
368,PDG SECURIT ,PDGS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
369,POLO CAP SEC,PLSC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
370,RBCAPITALRES,RBRA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
371,TRUESEC,APCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
372,VERTCIASEC,VERT,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
373,WTORRE PIC  ,WTPI,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
374,BNDESPAR    ,BNDP,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
375,BRAZILIAN FR,BFRE,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
376,GP INVEST   ,GPIV,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
377,PADTEC,PDTC,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
378,PPLA,PPLA,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
379,B3 ,B3SA,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
380,BOA VISTA,BOAS,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
381,CIELO       ,CIEL,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
382,ALFA CONSORC,BRGE,Financeiro,Previdência e Seguros,Seguradoras
383,BBSEGURIDADE,BBSE,Financeiro,Previdência e Seguros,Seguradoras
384,IRBBRASIL RE,IRBR,Financeiro,Previdência e Seguros,Seguradoras
385,PORTO SEGURO,PSSA,Financeiro,Previdência e Seguros,Seguradoras
386,SEG AL BAHIA,CSAB,Financeiro,Previdência e Seguros,Seguradoras
387,SUL AMERICA ,SULA,Financeiro,Previdência e Seguros,Seguradoras
388,ALPER S.A.,APER,Financeiro,Previdência e Seguros,Corretoras de Seguros
389,WIZ S.A.,WIZS,Financeiro,Previdência e Seguros,Corretoras de Seguros
390,ALIANSCSONAE,ALSO,Financeiro,Exploração de Imóveis,Exploração de Imóveis
391,BR MALLS PAR,BRML,Financeiro,Exploração de Imóveis,Exploração de Imóveis
392,BR PROPERT  ,BRPR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
393,COR RIBEIRO ,CORR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
394,CYRE COM-CCP,CCPR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
395,GENERALSHOPP,GSHP,Financeiro,Exploração de Imóveis,Exploração de Imóveis
396,HABITASUL   ,HBTS,Financeiro,Exploração de Imóveis,Exploração de Imóveis
397,IGB S/A     ,IGBR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
398,IGUATEMI    ,IGTA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
399,JEREISSATI  ,JPSA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
400,LOG COM PROP,LOGG,Financeiro,Exploração de Imóveis,Exploração de Imóveis
401,MENEZES CORT,MNZC,Financeiro,Exploração de Imóveis,Exploração de Imóveis
402,MULTIPLAN   ,MULT,Financeiro,Exploração de Imóveis,Exploração de Imóveis
403,SAO CARLOS  ,SCAR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
404,BR BROKERS  ,BBRK,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
405,LOPES BRASIL,LPSB,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
406,MONT ARANHA ,MOAR,Financeiro,Holdings Diversificadas,Holdings Diversificadas
407,PAR AL BAHIA,PEAB,Financeiro,Holdings Diversificadas,Holdings Diversificadas
408,SIMPAR,SIMH,Financeiro,Holdings Diversificadas,Holdings Diversificadas
409,CEPAC - CTBA,CTBA,Financeiro,Outros Títulos,Outros Títulos
410,CEPAC - MCRJ,MCRJ,Financeiro,Outros Títulos,Outros Títulos
411,CEPAC - PMSP,PMSP,Financeiro,Outros Títulos,Outros Títulos
412,524 PARTICIP,QVQP,Outros,Outros,Outros
413,ALEF S/A    ,ALEF,Outros,Outros,Outros
414,ATOMPAR,ATOM,Outros,Outros,Outros
415,BETAPART    ,BETP,Outros,Outros,Outros
416,CABINDA PART,CABI,Outros,Outros,Outros
417,CACONDE PART,CACO,Outros,Outros,Outros
418,CEMEPE      ,MAPT,Outros,Outros,Outros
419,CIMS        ,CMSA,Outros,Outros,Outros
420,GAMA PART   ,OPGM,Outros,Outros,Outros
421,INVEST BEMGE,FIGE,Outros,Outros,Outros
422,J B DUARTE  ,JBDU,Outros,Outros,Outros
423,MGI PARTICIP,MGIP,Outros,Outros,Outros
424,OPPORT ENERG,OPHE,Outros,Outros,Outros
425,POLPAR      ,PPAR,Outros,Outros,Outros
426,PROMPT PART ,PRPT,Outros,Outros,Outros
427,SUDESTE S/A ,OPSE,Outros,Outros,Outros
428,SUL 116 PART,OPTS,Outros,Outros,Outros
